EPotencial:	ECinetica:	ETotal:
-0.067442,	0.033953,	-0.033489
-0.067665,	0.034065,	-0.033599
-0.067887,	0.034178,	-0.033710
-0.068110,	0.034290,	-0.033820
-0.068332,	0.034402,	-0.033931
-0.068555,	0.034514,	-0.034041
-0.068777,	0.034626,	-0.034152
-0.069000,	0.034738,	-0.034262
-0.069223,	0.034850,	-0.034373
-0.069445,	0.034962,	-0.034483
-0.069668,	0.035074,	-0.034594
-0.069890,	0.035186,	-0.034704
-0.070113,	0.035298,	-0.034815
-0.070336,	0.035410,	-0.034925
-0.070558,	0.035522,	-0.035036
-0.070781,	0.035634,	-0.035146
-0.071003,	0.035746,	-0.035257
-0.071226,	0.035858,	-0.035367
-0.071448,	0.035971,	-0.035478
-0.071671,	0.036083,	-0.035589
-0.071894,	0.036195,	-0.035699
-0.072116,	0.036307,	-0.035810
-0.072339,	0.036419,	-0.035920
-0.072561,	0.036531,	-0.036031
-0.072784,	0.036643,	-0.036141
-0.073007,	0.036755,	-0.036252
-0.073229,	0.036867,	-0.036362
-0.073452,	0.036979,	-0.036473
-0.073674,	0.037091,	-0.036583
-0.073897,	0.037203,	-0.036694
-0.074120,	0.037315,	-0.036804
-0.074342,	0.037427,	-0.036915
-0.074565,	0.037539,	-0.037025
-0.074787,	0.037651,	-0.037136
-0.075010,	0.037764,	-0.037246
-0.075232,	0.037876,	-0.037357
-0.075455,	0.037988,	-0.037467
-0.075678,	0.038100,	-0.037578
-0.075900,	0.038212,	-0.037688
-0.076123,	0.038324,	-0.037799
-0.076345,	0.038436,	-0.037909
-0.076568,	0.038548,	-0.038020
-0.076791,	0.038660,	-0.038131
-0.077013,	0.038772,	-0.038241
-0.077236,	0.038884,	-0.038352
-0.077458,	0.038996,	-0.038462
-0.077681,	0.039108,	-0.038573
-0.077903,	0.039220,	-0.038683
-0.078126,	0.039332,	-0.038794
-0.078349,	0.039444,	-0.038904
-0.078571,	0.039557,	-0.039015
-0.078794,	0.039669,	-0.039125
-0.079016,	0.039781,	-0.039236
-0.079239,	0.039893,	-0.039346
-0.079462,	0.040005,	-0.039457
-0.079684,	0.040117,	-0.039567
